#=======================#
#--- testing -----------#
#=======================#
@testing@#thm-eq-reflexive	\\beq(a,a) = \\btrue
@length@#thm-length-singleton	\\length(\\cons(a,\\nil)) = \\next(\\zero)
@length@#thm-length-doubleton	\\length(\\cons(a,\\cons(b,\\nil))) = \\next(\\next(\\zero))
@length@#thm-length-snoc	\\length(\\snoc(a,x)) = \\next(\\length(x))
@length@#thm-length-rev	\\length(\\rev(x)) = \\length(x)
@length@#thm-length-cat	\\length(\\cat(x,y)) = \\nplus(\\length(x),\\length(y))
#=======================#
#--- at ----------------#
#=======================#
@at@#cor-at-zero	\\at(x,\\zero) = \\head(x)
@at@#cor-at-next	\\at(x,\\next(k)) = \\bif{\\isnil(x)}{\\lft(\\ast)}{\\at(\\tail(x),k)}
@at@#thm-at-cons-next	\\at(\\cons(a,x),\\next(k)) = \\at(x,k)
@at@#thm-at-nil	\\at(\\nil,k) = \\lft(\\ast)
@at@#thm-at-cons-zero	\\at(\\cons(a,x),\\zero) = \\rgt(a)
@at@#thm-at-doubleton-one	\\at(\\cons(a,\\cons(b,\\nil)),\\next(\\zero)) = \\rgt(b)
@at@#thm-at-cons-length	\\at(\\cons(a,x),\\length(x)) = \\head(\\rev(\\cons(a,x)))
@at@#thm-at-length	\\at(x,\\length(x)) = \\lft(\\ast)
#=======================#
#--- map ---------------#
#=======================#
@map@#def-map	\\map(f) = \\foldr(\\nil)(\\compose(\\cons)(f))
@map@#cor-map-nil	\\map(f)(\\nil) = \\nil
@map@#cor-map-cons	\\map(f)(\\cons(a,x)) = \\cons(f(a),\\map(f)(x))
@map@#thm-map-id	\\map(\\id) = \\id
@map@#thm-map-compose	\\map(\\compose(g)(f)) = \\compose(\\map(g))(\\map(f))
@map@#thm-map-tail	\\map(f)(\\tail(x)) = \\tail(\\map(f)(x))
@map@#thm-map-cat	\\map(f)(\\cat(x,y)) = \\cat(\\map(f)(x),\\map(f)(y))
@map@#thm-map-snoc	\\map(f)(\\snoc(a,x)) = \\snoc(f(a),\\map(f)(x))
@map@#thm-map-rev	\\map(f)(\\rev(x)) = \\rev(\\map(f)(x))
@map@#thm-at-map	\\at(\\map(f)(x),k) = \\uPair(\\id,f)(\\at(x,k))
@map@#thm-length-map	\\length(\\map(f)(x)) = \\length(x)
@map@#thm-isnil-map	\\isnil(\\map(f)(x)) = \\isnil(x)
